project,before_line_coverage,before_branch_coverage,after_line_coverage,after_branch_coverage,delta_line_coverage,delta_branch_coverage,status
1_tullibee,0.319390,0.198373,0.322572,0.198671,0.003182,0.000298,ok
2_a4j,0.261591,0.238747,0.256209,0.252125,-0.005382,0.013378,ok
3_gaj,0.343650,0.192159,0.346319,0.192017,0.002669,-0.000142,ok
4_rif,0.342513,0.273126,0.345904,0.284851,0.003392,0.011726,ok
5_templateit,0.359101,0.222364,0.360426,0.223955,0.001325,0.001591,ok
6_jnfe,0.365579,0.238212,0.366272,0.238481,0.000693,0.000269,ok
7_sfmis,0.363253,0.226846,0.367054,0.228543,0.003801,0.001697,ok
8_gfarcegestionfa,0.299925,0.276107,0.299140,0.287485,-0.000786,0.011378,ok
9_falselight,0.317338,0.230109,0.317403,0.235753,0.000065,0.005644,ok
10_water-simulator,0.267681,0.252937,0.262046,0.261532,-0.005634,0.008595,ok
11_imsmart,0.325270,0.251340,0.318852,0.254159,-0.006418,0.002819,ok
12_dsachat,0.299185,0.250942,0.296877,0.256694,-0.002308,0.005752,ok
13_jdbacl,0.257142,0.217749,0.255304,0.215997,-0.001838,-0.001752,ok
14_omjstate,0.338669,0.267569,0.341842,0.278821,0.003173,0.011252,ok
15_beanbin,0.334079,0.209050,0.334875,0.209538,0.000797,0.000488,ok
16_templatedetails,0.298721,0.222429,0.296584,0.226383,-0.002137,0.003954,ok
17_inspirento,0.339861,0.213794,0.340769,0.213879,0.000908,0.000085,ok
18_jsecurity,0.245004,0.204316,0.254484,0.202413,0.009480,-0.001903,ok
19_jmca,0.281347,0.175187,0.280346,0.174066,-0.001001,-0.001121,ok
20_nekomud,0.350926,0.276605,0.344615,0.269189,-0.006311,-0.007416,ok
21_geo-google,0.302127,0.220054,0.352319,0.219106,0.050192,-0.000947,ok
22_byuic,0.268884,0.222941,0.269124,0.227173,0.000240,0.004232,ok
23_jwbf,0.284275,0.218325,0.286044,0.218822,0.001769,0.000497,ok
24_saxpath,0.284886,0.224819,0.286787,0.224488,0.001901,-0.000331,ok
25_jni-inchi,0.306721,0.253264,0.310414,0.254114,0.003693,0.000849,ok
26_jipa,0.318155,0.225250,0.320098,0.225121,0.001943,-0.000129,ok
27_gangup,0.258962,0.206846,0.263505,0.209854,0.004543,0.003008,ok
28_greencow,0.275888,0.178946,0.276637,0.179370,0.000748,0.000424,ok
29_apbsmem,0.253392,0.231093,0.259608,0.235720,0.006215,0.004627,ok
30_bpmail,0.336788,0.210198,0.335887,0.209373,-0.000900,-0.000825,ok
31_xisemele,0.283746,0.236133,0.287626,0.241408,0.003880,0.005275,ok
32_httpanalyzer,0.313642,0.269688,0.314406,0.269877,0.000763,0.000189,ok
33_javaviewcontrol,0.340772,0.206056,0.342093,0.206027,0.001321,-0.000029,ok
34_sbmlreader2,0.361264,0.287473,0.361021,0.287268,-0.000244,-0.000205,ok
35_corina,0.330065,0.226923,0.212269,0.176705,-0.117796,-0.050218,ok
36_schemaspy,0.298271,0.214503,0.302348,0.218693,0.004077,0.004190,ok
37_petsoar,0.350563,0.234319,0.362763,0.231248,0.012200,-0.003072,ok
38_javabullboard,0.330919,0.225611,0.037725,0.023047,-0.293193,-0.202564,ok
39_diffi,0.313677,0.234167,0.315246,0.234386,0.001570,0.000219,ok
40_glengineer,0.321679,0.201374,0.328588,0.203342,0.006908,0.001968,ok
41_follow,0.325220,0.219339,0.326453,0.220186,0.001233,0.000846,ok
42_asphodel,0.338958,0.266530,0.340885,0.267393,0.001927,0.000863,ok
45_lotus,0.331801,0.198494,0.333964,0.199795,0.002163,0.001301,ok
46_nutzenportfolio,0.291115,0.211372,0.328978,0.212151,0.037863,0.000778,ok
47_dvd-homevideo,0.295334,0.229728,0.291257,0.234751,-0.004078,0.005023,ok
48_resources4j,0.336549,0.252695,0.327617,0.251123,-0.008932,-0.001572,ok
49_diebierse,0.326743,0.278387,0.338884,0.292733,0.012141,0.014346,ok
50_biff,0.291933,0.208337,0.289156,0.212715,-0.002777,0.004378,ok
51_jiprof,0.265144,0.208429,0.281122,0.205028,0.015978,-0.003402,ok
52_lagoon,0.303759,0.211559,0.305599,0.214058,0.001840,0.002500,ok
53_shp2kml,0.325389,0.242101,0.326856,0.249855,0.001467,0.007754,ok
54_db-everywhere,0.280613,0.214613,0.281648,0.217755,0.001035,0.003142,ok
55_lavalamp,0.346893,0.223041,0.348547,0.224202,0.001653,0.001160,ok
56_jhandballmoves,0.253112,0.264725,0.249522,0.270226,-0.003590,0.005501,ok
57_hft-bomberman,0.234544,0.263810,0.235331,0.269402,0.000787,0.005592,ok
58_fps370,0.155855,0.101626,0.147156,0.097662,-0.008700,-0.003965,ok
59_mygrid,0.287075,0.255471,0.279701,0.257042,-0.007374,0.001571,ok
60_sugar,0.342880,0.214146,0.341836,0.212375,-0.001045,-0.001771,ok
61_noen,0.217261,0.214172,0.316079,0.224108,0.098818,0.009937,ok
63_objectexplorer,0.243988,0.253277,0.240919,0.248912,-0.003070,-0.004365,ok
65_gsftp,0.303018,0.241865,0.300550,0.243799,-0.002468,0.001934,ok
67_gae-app-manager,0.350749,0.208124,0.348945,0.205200,-0.001803,-0.002924,ok
68_biblestudy,0.346690,0.214563,0.350825,0.214415,0.004135,-0.000148,ok
69_lhamacaw,0.238381,0.219256,0.237571,0.220704,-0.000810,0.001448,ok
70_echodep,0.330065,0.226923,0.292815,0.204455,-0.037251,-0.022468,ok
71_ext4j,0.332043,0.210865,0.330379,0.207540,-0.001664,-0.003325,ok
72_battlecry,0.303444,0.237961,0.302133,0.241584,-0.001311,0.003623,ok
73_fim1,0.263782,0.245065,0.257435,0.245538,-0.006347,0.000472,ok
74_fixsuite,0.302777,0.259847,0.299178,0.258218,-0.003599,-0.001629,ok
75_openhre,0.289691,0.205958,0.293760,0.209440,0.004069,0.003482,ok
76_dash-framework,0.308329,0.221578,0.308186,0.223940,-0.000143,0.002361,ok
77_io-project,0.377348,0.225518,0.372081,0.220613,-0.005267,-0.004905,ok
79_twfbplayer,0.305113,0.229449,0.319976,0.231724,0.014863,0.002275,ok
81_javathena,0.309833,0.232176,0.323000,0.207276,0.013167,-0.024899,ok
82_ipcalculator,0.288768,0.224264,0.282048,0.222985,-0.006720,-0.001280,ok
83_xbus,0.246621,0.186218,0.286286,0.203386,0.039664,0.017167,ok
85_shop,0.257398,0.217485,0.251321,0.218987,-0.006077,0.001502,ok
86_at-robots2-j,0.264157,0.227202,0.267443,0.230441,0.003286,0.003239,ok
87_jaw-br,0.292733,0.273267,0.286917,0.273980,-0.005816,0.000713,ok
88_jopenchart,0.325241,0.221204,0.326274,0.221589,0.001032,0.000385,ok
89_jiggler,0.128607,0.161465,0.136921,0.160753,0.008315,-0.000712,ok
90_dcparseargs,0.307393,0.217100,0.304087,0.217105,-0.003306,0.000005,ok
91_classviewer,0.306461,0.230908,0.300869,0.229568,-0.005593,-0.001340,ok
92_jcvi-javacommon,0.159509,0.180142,0.189446,0.179739,0.029937,-0.000403,ok
93_quickserver,0.260559,0.213906,0.260717,0.218186,0.000158,0.004280,ok
94_jclo,0.305848,0.214025,0.301935,0.214206,-0.003913,0.000181,ok
95_celwars2009,0.293544,0.222609,0.290523,0.222908,-0.003021,0.000299,ok
96_heal,0.197944,0.157810,0.199517,0.160966,0.001572,0.003156,ok
97_feudalismgame,0.279827,0.228881,0.273247,0.227044,-0.006580,-0.001837,ok
98_trans-locator,0.307522,0.221919,0.304912,0.222609,-0.002610,0.000690,ok
99_newzgrabber,0.329678,0.208934,0.329697,0.209077,0.000019,0.000143,ok
100_jgaap,0.310209,0.245203,0.306106,0.246696,-0.004103,0.001493,ok
101_netweaver,0.201397,0.190924,0.016485,0.006666,-0.184912,-0.184258,ok
106_checkstyle,0.260835,0.210347,0.256874,0.208395,-0.003961,-0.001953,ok
